date,open,high,low,close,volume
2022-05-17 09:40:00,872.0,872.0,872.0,872.0,3759243
2022-05-17 09:45:00,872.0,872.0,872.0,872.0,0
2022-05-17 09:50:00,872.0,872.0,872.0,872.0,0
2022-05-17 09:55:00,872.0,872.0,872.0,872.0,0
2022-05-17 10:00:00,862.0,918.1,862.0,902.8,12449251
2022-05-17 10:05:00,902.45,908.95,896.3,898.0,3349007
2022-05-17 10:10:00,897.9,902.5,896.0,902.15,1888322
2022-05-17 10:15:00,902.3,905.0,900.15,904.35,1038367
2022-05-17 10:20:00,904.1,905.0,900.0,903.85,781950
2022-05-17 10:25:00,903.85,904.8,902.6,903.35,554784
2022-05-17 10:30:00,903.5,903.7,896.1,899.7,1266283
2022-05-17 10:35:00,899.9,902.0,897.6,901.95,619176
2022-05-17 10:40:00,901.55,902.0,898.75,898.95,413857
2022-05-17 10:45:00,899.0,901.95,898.95,901.9,330340
2022-05-17 10:50:00,902.0,903.0,897.8,898.8,484539
2022-05-17 10:55:00,898.5,900.0,897.9,898.2,268058
2022-05-17 11:00:00,898.15,898.75,885.0,886.65,1400927
2022-05-17 11:05:00,887.0,887.0,878.1,879.4,1960668
2022-05-17 11:10:00,879.95,883.7,877.6,881.25,971141
2022-05-17 11:15:00,881.5,884.8,876.1,884.3,681644
